time,battery_current(A),battery_temperature(C),battery_voltage(V),controller_temperature(C),daily_load_consumption(Wh),daily_solar_production(Wh),daily_wind_turbine_production(Wh),dump_load_current(A),load_voltage(V),output_current(A),solar_current(A),solar_voltage(V),total_load_consumption(Wh),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-08-27 17:00:00+03:00,0.0,1853.5000000000007,1431.0,1943.0999999999983,0,21041,0,0,1387.0000000000005,0.0,0.0,1970.5000000000002,271648,448804,52,0,1644,314.99999999999994
2020-08-27 18:00:00+03:00,2.0,1868.8999999999999,1538.8,1993.6000000000001,0,22664,0,0,1521.8000000000009,0.0,1.5,2102.2000000000003,297768,482710,57,0,1900,356.7999999999999
2020-08-27 19:00:00+03:00,0.0,1568.1,1426.1999999999998,1692.5000000000007,0,21094,0,0,1410.6000000000006,0.0,0.0,1689.2000000000003,276872,448857,53,0,514,93.09999999999998
2020-08-27 20:00:00+03:00,0.0,1612.7,1540.7000000000003,1750.1999999999998,0,23482,0,0,1461.8999999999987,0.0,0.0,824.7000000000007,297768,499671,57,0,0,0.0
2020-08-27 21:00:00+03:00,0.0,1502.8000000000002,1530.0,1635.7,0,23880,0,0,1500.3999999999996,0.0,0.0,403.4000000000001,313440,508140,60,0,0,0.0
2020-08-27 22:00:00+03:00,0.0,1404.4000000000003,1530.0,1525.6999999999996,0,23880,0,0,1475.0,0.0,0.0,411.1999999999996,308216,508140,59,0,0,0.0
2020-08-27 23:00:00+03:00,0.0,1337.599999999999,1530.0,1455.5000000000005,0,23880,0,0,1500.0,0.0,0.0,413.9999999999997,313440,508140,60,0,0,0.0
2020-08-28 00:00:00+03:00,0.0,1277.7000000000003,1504.5,1386.2999999999997,0,23482,0,0,1450.0,0.0,0.0,407.70000000000005,302992,499671,58,0,0,0.0
2020-08-28 01:00:00+03:00,0.0,1321.7000000000005,1511.7000000000016,1613.2999999999995,1500,23880,0,0,1382.2000000000014,126.29999999999986,0.0,295.0000000000003,293958,508140,56,0,0,49.59999999999996
2020-08-28 02:00:00+03:00,0.0,1290.8999999999992,1461.6000000000015,1639.9999999999993,4425,23084,0,0,1407.9000000000015,121.39999999999988,0.0,286.0000000000002,302119,491202,57,0,0,46.39999999999996
